iter	Passed	Remaining
0	131	26115
1	134	13314
2	139	9139
3	144	7086
4	148	5803
5	151	4904
6	155	4282
7	157	3787
8	162	3451
9	165	3136
10	167	2876
11	170	2665
12	172	2480
13	175	2327
14	178	2205
15	181	2084
16	183	1976
17	186	1886
18	189	1800
19	193	1738
20	196	1670
21	198	1605
22	201	1548
23	203	1492
24	206	1444
25	210	1405
26	212	1361
27	214	1319
28	217	1282
29	219	1245
30	222	1212
31	225	1184
32	228	1156
33	231	1131
34	234	1103
35	236	1078
36	240	1060
37	243	1036
38	245	1015
39	248	993
40	250	972
41	253	953
42	257	938
43	259	920
44	261	901
45	264	884
46	266	867
47	269	854
48	272	840
49	274	824
50	277	809
51	279	795
52	281	781
53	284	769
54	288	759
55	290	748
56	293	735
57	295	724
58	298	712
59	300	701
60	304	693
61	308	685
62	310	675
63	313	665
64	315	655
65	319	647
66	321	638
67	324	629
68	326	620
69	328	610
70	331	603
71	335	596
72	338	588
73	340	580
74	343	572
75	345	564
76	348	556
77	352	550
78	354	543
79	357	535
80	360	529
81	362	521
82	364	514
83	368	508
84	370	501
85	373	494
86	376	488
87	378	481
88	381	475
89	384	470
90	387	463
91	389	457
92	392	451
93	394	445
94	397	439
95	401	434
96	403	428
97	406	423
98	409	417
99	412	412
100	415	407
101	418	401
102	420	396
103	422	390
104	425	384
105	427	378
106	431	374
107	434	370
108	437	365
109	439	359
110	442	354
111	444	349
112	448	345
113	450	340
114	453	334
115	455	329
116	458	324
117	460	319
118	464	316
119	467	311
120	470	307
121	472	302
122	474	297
123	477	292
124	481	288
125	483	283
126	486	279
127	488	274
128	490	270
129	493	265
130	496	261
131	499	257
132	501	252
133	504	248
134	506	243
135	509	239
136	513	236
137	516	232
138	519	227
139	522	223
140	525	219
141	529	216
142	533	212
143	535	208
144	538	204
145	541	200
146	545	196
147	548	192
148	550	188
149	552	184
150	555	180
151	558	176
152	562	172
153	564	168
154	567	164
155	569	160
156	572	156
157	574	152
158	578	149
159	580	145
160	583	141
161	585	137
162	587	133
163	590	129
164	593	125
165	596	122
166	598	118
167	601	114
168	603	110
169	606	106
170	609	103
171	612	99
172	614	95
173	617	92
174	619	88
175	622	84
176	626	81
177	628	77
178	631	74
179	633	70
180	636	66
181	639	63
182	642	59
183	644	56
184	647	52
185	649	48
186	651	45
187	654	41
188	657	38
189	660	34
190	662	31
191	665	27
192	667	24
193	670	20
194	673	17
195	675	13
196	678	10
197	681	6
198	683	3
199	686	0
